date,adm1_name,basket_cost_syp,daily_wage_syp,monthly_income_syp,affordability_index
2014-11-01,As_Suweida,17735.040399999998,1000.0,30000.0,1.692
2014-11-01,City_Damascus,18986.5554,1300.0,39000.0,2.054
2014-11-01,Damascus,22705.1868,1300.0,39000.0,1.718
2014-11-01,Dara,37853.0634,600.0,18000.0,0.476
2014-11-01,Hama,17672.6904,875.0,26250.0,1.485
2014-11-01,Homs,26778.37685,750.0,22500.0,0.84
2014-11-01,Idleb,33698.4335,562.5,16875.0,0.501
2014-12-01,Aleppo,24839.470299999997,1000.0,30000.0,1.208
2014-12-01,As_Suweida,18352.735399999998,1000.0,30000.0,1.635
2014-12-01,City_Damascus,19456.3304,1300.0,39000.0,2.004
2014-12-01,Damascus,23003.606799999998,1300.0,39000.0,1.695
2014-12-01,Dara,16708.3552,600.0,18000.0,1.077
2014-12-01,Dayr_Az_Zor,24580.6318,950.0,28500.0,1.159
2014-12-01,Hama,17954.5554,820.0,24600.0,1.37
2014-12-01,Hassakeh,22678.9482,830.0,24900.0,1.098
2014-12-01,Homs,26879.2656,740.0,22200.0,0.826
2014-12-01,Idleb,34752.987,580.0,17400.0,0.501
2014-12-01,Lattakia,18891.9554,1000.0,30000.0,1.588
2014-12-01,Raqqa,23933.636599999998,1000.0,30000.0,1.253
2014-12-01,Tartous,18972.5804,500.0,15000.0,0.791
2015-01-01,Aleppo,25415.6316,1000.0,30000.0,1.18
2015-01-01,As_Suweida,19212.5634,1000.0,30000.0,1.561
2015-01-01,City_Damascus,20180.1451,1125.0,33750.0,1.672
2015-01-01,Damascus,22510.6634,1300.0,39000.0,1.733
2015-01-01,Dara,16909.6167,600.0,18000.0,1.064
2015-01-01,Dayr_Az_Zor,26368.7051,987.5,29625.0,1.123
2015-01-01,Hama,19795.1618,850.0,25500.0,1.288
2015-01-01,Hassakeh,22277.1218,800.0,24000.0,1.077
2015-01-01,Homs,28942.5002,766.6666666666666,23000.0,0.795
2015-01-01,Idleb,19500.4785,600.0,18000.0,0.923
2015-01-01,Lattakia,20080.2518,500.0,15000.0,0.747
2015-01-01,Raqqa,24533.4866,1250.0,37500.0,1.529
2015-01-01,Tartous,20160.8768,500.0,15000.0,0.744
2015-02-01,Aleppo,26868.631699999998,1000.0,30000.0,1.117
2015-02-01,As_Suweida,21754.1515,1000.0,30000.0,1.379
2015-02-01,City_Damascus,22283.3482,1300.0,39000.0,1.75
2015-02-01,Damascus,23824.8982,1300.0,39000.0,1.637
2015-02-01,Dara,19970.9716,600.0,18000.0,0.901
2015-02-01,Dayr_Az_Zor,23313.6282,900.0,27000.0,1.158
2015-02-01,Hama,22606.493199999997,1050.0,31500.0,1.393
2015-02-01,Hassakeh,22675.5082,800.0,24000.0,1.058
2015-02-01,Homs,31980.3298,791.6666666666666,23750.0,0.743
2015-02-01,Idleb,13814.8035,650.0,19500.0,1.412
2015-02-01,Lattakia,22277.225,500.0,15000.0,0.673
2015-02-01,Raqqa,21672.9116,1250.0,37500.0,1.73
2015-02-01,Tartous,21645.443199999998,500.0,15000.0,0.693
2015-03-01,Aleppo,28636.9035,1000.0,30000.0,1.048
2015-03-01,As_Suweida,22773.548199999997,1000.0,30000.0,1.317
2015-03-01,City_Damascus,22762.5832,1300.0,39000.0,1.713
2015-03-01,Damascus,24081.6082,1300.0,39000.0,1.619
2015-03-01,Dara,21959.9366,600.0,18000.0,0.82
2015-03-01,Dayr_Az_Zor,34413.4332,912.5,27375.0,0.795
2015-03-01,Hama,21933.3282,1100.0,33000.0,1.505
2015-03-01,Hassakeh,23393.178200000002,912.5,27375.0,1.17
2015-03-01,Homs,33247.9698,800.0,24000.0,0.722
2015-03-01,Idleb,14182.965200000002,667.0,20010.0,1.411
2015-03-01,Lattakia,22396.8166,500.0,15000.0,0.67
2015-03-01,Raqqa,22396.8682,1500.0,45000.0,2.009
2015-03-01,Tartous,22819.7732,500.0,15000.0,0.657
2015-04-01,Aleppo,29318.5567,1000.0,30000.0,1.023
2015-04-01,As_Suweida,24352.2932,1000.0,30000.0,1.232
2015-04-01,City_Damascus,23380.206519,1300.0,39000.0,1.668
2015-04-01,Damascus,24563.4232,1300.0,39000.0,1.588
2015-04-01,Dara,26800.713200000002,637.5,19125.0,0.714
2015-04-01,Dayr_Az_Zor,38822.2232,950.0,28500.0,0.734
2015-04-01,Hama,23809.2032,1000.0,30000.0,1.26
2015-04-01,Hassakeh,24478.7132,950.0,28500.0,1.164
2015-04-01,Homs,34930.4523,850.0,25500.0,0.73
2015-04-01,Lattakia,23466.9232,537.5,16125.0,0.687
2015-04-01,Raqqa,24652.6482,1500.0,45000.0,1.825
2015-04-01,Tartous,23642.5782,500.0,15000.0,0.634
2015-05-01,Aleppo,22281.6282,1000.0,30000.0,1.346
2015-05-01,As_Suweida,25812.7882,1200.0,36000.0,1.395
2015-05-01,City_Damascus,25278.7282,1300.0,39000.0,1.543
2015-05-01,Damascus,26958.5232,1300.0,39000.0,1.447
2015-05-01,Dara,32789.3232,700.0,21000.0,0.64
2015-05-01,Dayr_Az_Zor,47905.388399999996,1040.0,31200.0,0.651
2015-05-01,Hama,23824.4682,1000.0,30000.0,1.259
2015-05-01,Hassakeh,25765.4882,870.0,26100.0,1.013
2015-05-01,Homs,35681.9848,850.0,25500.0,0.715
2015-05-01,Lattakia,24290.803200000002,930.0,27900.0,1.149
2015-05-01,Raqqa,26797.660200000002,1500.0,45000.0,1.679
2015-05-01,Tartous,24250.1682,750.0,22500.0,0.928
2015-06-01,Aleppo,22252.8182,1000.0,30000.0,1.348
2015-06-01,As_Suweida,26348.783199999998,1200.0,36000.0,1.366
