cm_name,avg_share,max_share,min_share
Bread (shop) - Retail,98.87,336.81,9.36
Wheat flour - Retail,19.28,247.25,5.24
Bread (bakery) - Retail,16.12,510.66,2.87
Oil - Retail,6.41,70.64,1.21
Pasta - Retail,5.14,34.9,0.72
Tea - Retail,3.83,47.78,0.33
Rice - Retail,3.73,39.09,0.79
Lentils - Retail,3.66,86.0,0.71
Sugar - Retail,3.02,65.84,0.66
Pasta (spaghetti) - Retail,2.6,9.21,0.49
Beans (white) - Retail,1.98,31.24,0.28
Bulgur - Retail,1.7,14.91,0.47
"Noodles (instant, indomie) - Retail",1.38,20.06,0.68
Chickpeas - Retail,1.19,17.2,0.26
Salt (iodised) - Retail,0.08,2.72,0.01
Salt - Retail,,,
Wheat flour (local) - Retail,,,
