adm1_name,commodity,monthly_income,max_budget_syp,monthly_quantity,wtp_ceiling_syp
Al_Qunaytirah,Wheat flour - Retail,208125,41625,29.67,1402.9
Al_Qunaytirah,Wheat flour (local) - Retail,208125,41625,29.67,1402.9
Al_Qunaytirah,Bread (bakery) - Retail,208125,41625,129.0,322.7
Al_Qunaytirah,Bread (shop) - Retail,208125,41625,129.0,322.7
Al_Qunaytirah,Rice - Retail,208125,41625,3.22,12907.0
Al_Qunaytirah,Sugar - Retail,208125,41625,3.22,12907.0
Al_Qunaytirah,Oil - Retail,208125,41625,3.22,12907.0
Al_Qunaytirah,Lentils - Retail,208125,41625,3.22,12907.0
Al_Qunaytirah,Chickpeas - Retail,208125,41625,1.07,38720.9
Al_Qunaytirah,Beans (white) - Retail,208125,41625,1.07,38720.9
Al_Qunaytirah,Salt (iodised) - Retail,208125,41625,0.26,161337.2
Al_Qunaytirah,Bulgur - Retail,208125,41625,2.15,19360.5
Al_Qunaytirah,Pasta (spaghetti) - Retail,208125,41625,2.15,19360.5
Al_Qunaytirah,Tea - Retail,208125,41625,0.43,96802.3
Al_Qunaytirah,Eggs - Retail,208125,41625,51.6,806.7
Al_Qunaytirah,Tomatoes - Retail,208125,41625,8.6,4840.1
Al_Qunaytirah,Potatoes - Retail,208125,41625,6.45,6453.5
Al_Qunaytirah,Onions - Retail,208125,41625,2.15,19360.5
Aleppo,Wheat flour - Retail,198661,39732,29.67,1339.1
Aleppo,Wheat flour (local) - Retail,198661,39732,29.67,1339.1
Aleppo,Bread (bakery) - Retail,198661,39732,129.0,308.0
Aleppo,Bread (shop) - Retail,198661,39732,129.0,308.0
Aleppo,Rice - Retail,198661,39732,3.22,12320.0
Aleppo,Sugar - Retail,198661,39732,3.22,12320.0
Aleppo,Oil - Retail,198661,39732,3.22,12320.0
Aleppo,Lentils - Retail,198661,39732,3.22,12320.0
Aleppo,Chickpeas - Retail,198661,39732,1.07,36960.1
Aleppo,Beans (white) - Retail,198661,39732,1.07,36960.1
Aleppo,Salt (iodised) - Retail,198661,39732,0.26,154000.6
Aleppo,Bulgur - Retail,198661,39732,2.15,18480.1
Aleppo,Pasta (spaghetti) - Retail,198661,39732,2.15,18480.1
Aleppo,Tea - Retail,198661,39732,0.43,92400.3
Aleppo,Eggs - Retail,198661,39732,51.6,770.0
Aleppo,Tomatoes - Retail,198661,39732,8.6,4620.0
Aleppo,Potatoes - Retail,198661,39732,6.45,6160.0
Aleppo,Onions - Retail,198661,39732,2.15,18480.1
As_Suweida,Wheat flour - Retail,175937,35187,29.67,1186.0
As_Suweida,Wheat flour (local) - Retail,175937,35187,29.67,1186.0
As_Suweida,Bread (bakery) - Retail,175937,35187,129.0,272.8
